iteration,SMILES,TC,Modulus
42,*CCCCCCCCCCCCCCS*,0.341,4.888
42,*CCCCCCCCCCCCO*,0.415,4.85
42,*/C=C/CCCCCC*,0.33,3.744
42,*CCCCCC\C=C\*,0.323,3.987
43,*CCCCOC(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O*,0.551,4.872
43,*/C=C/CCC*,0.254,3.767
43,CCCCCCCC(*)=C(C)*,0.29,3.719
43,CCCCCC(*)=C(C)*,0.196,2.915
44,*CC1CCC(*)C1,0.335,5.92
44,*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],0.199,3.734
44,*C1CCC1*,0.163,3.921
44,*CC/C=C(/*)C(C)(C)C,0.208,3.101
45,*C1CC2CC1C(*)C2CCCCCCCCCC,0.31,5.071
45,*c1sc(*)c(OCCCCCCCCCCCC)c1C,0.379,4.834
45,*CCCCCCNC(=O)C(CCCCCCCCCCCCCCCCC)C(=O)N*,0.399,4.754
45,*c1ccc(-c2sc(-c3cc(CCCCCCCCCCCC)c(*)s3)cc2CCCCCCCCCCCC)cc1,0.413,4.98
46,*CC(*)C1=CC=CC=C1,0.214,3.542
46,*CC(*)c1ccccc1C,0.19,2.895
46,*CC(*)c1ccccc1CC,0.184,2.589
46,*CC(*)c1ccccc1COC,0.207,3.779
47,*CC(*)c1c([2H])c([2H])c([2H])c([2H])c1[2H],0.185,3.841
47,*C1=NC2=C(N1)C=CC(=C2)C1=CC2=C(NC(=N2)C2=CC=C(*)C=C2)C=C1,0.537,6.806
47,*CCN*,0.351,5.213
47,*CCCS(*)(=O)=O,0.193,8.093
48,*CC(*)c1ccc(C(C)CC)cc1,0.23,4.599
48,*CCc1cc(*)c(C)cc1C,0.194,3.097
48,*c1ccc(-c2ccc3c(c2)C(CCCCCC)(CCCCCC)c2cc(*)ccc2-3)cc1,0.376,3.839
48,*c1ccc2ccc3c(*)cc(C#CC=C)c4ccc1c2c34,0.429,3.279
49,*Nc1ccc(*)cc1C(C)CC,0.315,3.876
49,*c1cccc(*)c1,0.341,3.763
49,*c1ccc2c(c1)C(CCCCCC)(CCCCCC)c1cc(-c3cc(CCCCCC)c(*)cc3CCCCCC)ccc1-2,0.46,4.77
49,*c1ccc(C2C(C#N)(C(=O)OCCC)C(*)C2(C#N)C(=O)OCCC)cc1,0.258,4.256
50,*c1ccc2c(c1)C(CCCCCC)(CCCCCC)c1cc(-c3cc(CCCCCCCC)c(*)cc3CCCCCCCC)ccc1-2,0.349,3.816
50,*CC(*)C(=O)OC(CC)CC,0.213,3.255
50,*CC(*)CC(C)C(F)(F)F,0.148,2.831
50,*CC(*)C(=O)OC(C)CCC(CC)CCCC,0.212,4.037
51,*Oc1cc(C)c(CC(*)C=C)cc1C,0.197,3.387
51,CN1C(*)=CC=C1*,0.435,4.125
51,*CC(*)c1ccccc1,0.228,3.877
51,*c1ccc(*)c(CCCCCC)c1,0.537,5.978
52,*CC(*)n1c2ccccc2c2ccccc21,0.147,3.418
52,*Oc1c([2H])c([2H])c(C(c2c([2H])c([2H])c(OC(*)=O)c([2H])c2[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])c([2H])c1[2H],0.202,3.702
52,CC1=CC2=C(C=C1OC1=CC=C(*)C=C1)C(C)(C)CC1(CC(C)(C)C3=CC(OC4=CC=C(*)C=C4)=C(C)C=C3O1)O2,0.219,3.803
52,FC(F)(F)C(C1=CC=C(OC2=CC=C(*)C=C2)C=C1)(C1=CC=C(OC2=CC=C(C=C2)N2C(=C)C3=CC=C4C(=C)N(*)C(=C)C5=C4C3=C(C=C5)C2=C)C=C1)C(F)(F)F,0.289,4.849
53,*C1=NC2=C(N1)C=CC(=C2)C1=CC2=C(NC(=N2)C2=CC=CC(*)=C2)C=C1,0.411,6.394
53,*CC(*)c1ccccc1,0.205,3.881
53,C\C(C*)=C\C*,0.213,3.708
53,*CC(*)c1ccccc1COCC,0.185,3.741
54,*CC(*)c1ccccc1COCCC,0.217,3.487
54,*/C=C/c1cc(C)c(*)cc1C,0.38,5.87
54,*Nc1ccc(*)cc1CCCCCCCCCCCCCCC,0.314,4.717
54,*CC(*)c1ccccc1COC(C)C,0.171,2.886
55,*CC(*)c1ccc(-c2ccc3c(c2)C(CCCCCC)(CCCCCC)c2cc(-c4ccc5c(c4)C(CCCCCC)(CCCCCC)c4ccccc4-5)ccc2-3)cc1,0.231,3.434
55,*/C=C/c1cc(CCCCCCC)c(*)cc1CCCCCCC,0.262,5.426
55,*c1ccc(-c2ccc3c(c2)C(CCCCCCC#N)(CCCCCCC#N)c2cc(*)ccc2-3)cc1,0.491,5.721
55,*Nc1ccc(*)cc1C(C)C,0.26,3.709
56,*CC(*)c1ccccc1COCCCC,0.203,3.428
56,*c1sc(*)c(OCCCCCCCCCCCCCC)c1C,0.444,4.637
56,*CC(*)c1ccccc1COCCCCC,0.199,3.419
56,*CC(*)c1ccccc1COCCC(C)C,0.194,3.903
57,CC1(C)C2=CC=C(C=C2C(C)(C)C1(C)C)C(*)=C(*)C1=CC=CC=C1,0.117,2.782
57,CC(C)CCC(*)=C(C)*,0.199,2.425
57,*CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*,0.453,4.843
57,*CCCCCCCCCCCCCCCCCCOCO*,0.411,4.994
58,*CC(*)c1ccccc1COCc1ccccc1,0.191,3.778
58,*CC(*)c1ccccc1COCCc1ccccc1,0.188,4.353
58,*CC(*)c1ccccc1C(=O)NC,0.184,4.293
58,*CC(*)c1ccccc1C(=O)N(C)C,0.165,3.155
59,*CC(*)c1ccccc1C(=O)Nc1ccccc1,0.164,3.364
59,*CC(*)c1ccccc1C(=O)O,0.153,4.705
59,*CC(*)c1ccccc1C(=O)OC,0.174,5.011
59,*CC(*)c1ccccc1C(=O)OCC,0.182,5.003
60,*CC(*)c1ccccc1C(=O)OCCC,0.193,3.778
60,*CC(*)c1ccccc1C(=O)OC(C)C,0.174,2.806
60,*CC(*)c1ccccc1C(=O)OCCCC,0.195,3.518
60,*CC(*)c1ccccc1C(=O)OCC(C)C,0.17,3.823
